p_val,avg_log2FC,pct.1,pct.2,p_val_adj,marker,celltype,de
54312,1.37622698091536e-32,0.721304354042837,0.141,0.065,5.25388412234248e-28,THSD4,Ast,Up reg
54364,4.04577355119962e-32,0.628614969944151,0.148,0.071,1.54451451090597e-27,SHMT1,Ast,Up reg
54374,5.25929239869303e-32,0.633279721880047,0.109,0.043,2.00778746612505e-27,AC008250.1,Ast,Up reg
54404,1.59780968877773e-31,0.610796683032786,0.183,0.098,6.09979826787787e-27,CDK11B,Ast,Up reg
54511,1.83912177043506e-30,0.872793167205403,0.09,0.034,7.02103127081289e-26,BAIAP2L1,Ast,Up reg
54533,3.83391072571018e-30,0.799599692895681,0.095,0.036,1.46363375864712e-25,AC092574.2,Ast,Up reg
54608,2.4684776090524e-29,0.643269765158107,0.116,0.051,9.42366012031846e-25,SERHL2,Ast,Up reg
54735,2.73451938571011e-28,0.697897809096972,0.109,0.048,1.04393012068869e-23,AL161457.2,Ast,Up reg
55082,3.54951953531876e-25,0.715378491292034,0.092,0.039,1.35506457780329e-20,AC015849.3,Ast,Up reg
55099,4.46757687580222e-25,0.776972901585376,0.102,0.046,1.70554214810626e-20,GDPD2,Ast,Up reg
55689,5.29748557608581e-21,0.65233749185789,0.085,0.038,2.02236809352652e-16,LETM2,Ast,Up reg
55696,5.78660852130124e-21,0.857295536060574,0.069,0.027,2.20909566909196e-16,CD40,Ast,Up reg
55697,5.87808201729152e-21,1.16935018346882,0.055,0.019,2.24401659092121e-16,GBP2,Ast,Up reg
55957,2.92701075805884e-19,0.86778205298265,0.055,0.02,1.11741562699654e-14,FXYD3,Ast,Up reg
56218,8.62944967929722e-18,0.640326693157052,0.05,0.018,3.29437870956851e-13,ANKRD65,Ast,Up reg
56265,1.58412937743526e-17,1.23754320603776,0.047,0.016,6.04757231129685e-13,LINC01954,Ast,Up reg
57235,3.11928583602101e-13,-1.43103472452603,0.063,0.101,1.19081856075938e-08,NEFL,Ast,Down reg
57580,4.11218816134282e-12,-0.912241451356615,0.075,0.115,1.56986895247423e-07,ELOA-AS1,Ast,Down reg
57699,9.38301992649364e-12,-1.49960982222755,0.021,0.046,3.58206168713821e-07,RGS4,Ast,Down reg
57705,1.00447959203268e-11,-1.03335886900607,0.105,0.144,3.83470129054398e-07,YWHAH,Ast,Down reg
57890,3.09517023372253e-11,0.841094788359819,0.038,0.016,1.18161218842591e-06,AL353753.1,Ast,Up reg
57918,3.64421546190044e-11,0.93262440813358,0.035,0.014,1.39121569473511e-06,RPE65,Ast,Up reg
58017,6.14074862310576e-11,-1.24774818212018,0.039,0.068,2.34429219435685e-06,SEMA6A-AS1,Ast,Down reg
58258,2.52963288516803e-10,-1.15458103616103,0.058,0.09,9.65712650241748e-06,RNASEK,Ast,Down reg
58484,8.46563488444232e-10,0.728058555823296,0.037,0.017,3.2318407734847e-05,SRPK3,Ast,Up reg
58994,8.5739071436772e-09,1.10063618199047,0.028,0.011,0.000327317479117021,METTL7B,Ast,Up reg
59449,6.02641673314344e-08,0.759921611010006,0.024,0.01,0.00230064485204484,SLC2A4,Ast,Up reg
59469,6.2936416751655e-08,0.666032099988758,0.02,0.007,0.00240266064591118,AL353801.1,Ast,Up reg
59583,1.02880272753243e-07,0.816922569164381,0.039,0.02,0.00392755729262782,OR2H2,Ast,Up reg
59703,1.51182310491859e-07,-2.08118763375344,0.015,0.03,0.00577153588533722,BEX5,Ast,Down reg
59833,2.45247152491264e-07,-2.57158776223304,0.007,0.018,0.00936255529350648,WFIKKN2,Ast,Down reg
59845,2.67176130256758e-07,-0.610735529459002,0.163,0.195,0.010199715948682,MIR181A1HG,Ast,Down reg
60056,5.51972667886585e-07,-1.38374925327566,0.024,0.042,0.0210721085692383,SYT4,Ast,Down reg
60115,6.78754245479259e-07,-0.683955892147601,0.083,0.111,0.0259121220754162,BCL2L2-PABPN1,Ast,Down reg
60286,1.18698014026731e-06,-0.898352918825909,0.084,0.11,0.0453141538348448,SCN2A,Ast,Down reg
66865,2.13178903032656e-23,0.852266559305327,0.846,0.603,8.13831780217467e-19,LINC00486,End,Up reg
66874,4.06344730202565e-17,1.4015815278241,0.693,0.429,1.55126164202131e-12,FTL,End,Up reg
66881,5.21994269423685e-15,0.959993050477908,0.737,0.522,1.99276532295186e-10,CNTNAP3B,End,Up reg
66887,3.3848805300879e-14,-1.31949980506531,0.145,0.37,1.29221199116636e-09,HLA-E,End,Down reg
66930,7.9181578215667e-11,1.19961557538098,0.383,0.182,3.0228359299613e-06,IL6R,End,Up reg
66957,6.75055612263387e-10,-1.30714292760615,0.109,0.264,2.57709230537671e-05,TJP2,End,Down reg
66996,7.64931172472375e-09,0.628108554471951,0.453,0.242,0.000292020124403054,GBP2,End,Up reg
67042,3.20254494888956e-08,0.619587534705561,0.583,0.367,0.00122260355968808,RPS27A,End,Up reg
67057,5.20700115563701e-08,0.925189770187347,0.33,0.163,0.00198782476117599,LINC02256,End,Up reg
67071,7.62209310338063e-08,0.818119473145467,0.356,0.182,0.00290981026314659,CSTB,End,Up reg
67090,1.15805181264687e-07,-1.19918532010539,0.082,0.207,0.00442097859996068,HLA-A,End,Down reg
67091,1.17444649720828e-07,0.607271995314956,0.59,0.399,0.00448356694774232,HSD17B12,End,Up reg
67097,1.36827753369843e-07,1.35765984165437,0.244,0.106,0.00522353631264713,FAM85B,End,Up reg
67131,2.83860082865096e-07,-1.5257235262351,0.042,0.139,0.0108366425234579,TTN-AS1,End,Down reg
67155,4.56242670807229e-07,-1.42514939937256,0.097,0.215,0.0174175202007368,ATF7,End,Down reg
81229,1.63020239462099e-16,1.1985183923635,0.723,0.396,6.22346066170507e-12,LINC00486,Peri,Up reg
81261,2.32132702719643e-13,1.66783582838381,0.358,0.089,8.86189805902511e-09,DYNLRB1,Peri,Up reg
81273,1.14519906583186e-12,1.27640958606226,0.427,0.13,4.37191195371972e-08,WASHC1,Peri,Up reg
81295,1.07276041207231e-11,1.56429467370003,0.727,0.433,4.09537014912724e-07,FTL,Peri,Up reg
81303,2.09132857958579e-11,1.26579679703804,0.465,0.178,7.98385598542673e-07,HSD17B12,Peri,Up reg
81323,5.13786921662971e-11,1.28032189806814,0.465,0.181,1.96143295214056e-06,GPX3,Peri,Up reg
81337,9.07512459344514e-11,1.17970257837306,0.554,0.27,3.46451956479362e-06,TXNRD1,Peri,Up reg
81346,1.44766542048695e-10,1.65590670235654,0.312,0.085,5.52660750925097e-06,TIMM23B,Peri,Up reg
81348,1.56894515370815e-10,1.62169377738338,0.312,0.085,5.98960501879622e-06,OOEP,Peri,Up reg
81359,2.54864159689436e-10,1.47452962564163,0.435,0.181,9.72969416030392e-06,APOO,Peri,Up reg
81365,3.15122355492071e-10,1.31724084877453,0.277,0.067,1.20301110432653e-05,GADD45GIP1,Peri,Up reg
81382,8.70702275207371e-10,0.958638197832078,0.708,0.467,3.32399300583166e-05,SPARC,Peri,Up reg
81416,2.44960052234749e-09,0.993682384407998,0.396,0.144,9.35159495411378e-05,ATP5MC3,Peri,Up reg
81425,4.25546017490299e-09,1.46852273768572,0.292,0.085,0.000162456447637096,TRMT112,Peri,Up reg
81435,5.25158417856713e-09,1.69514572162731,0.335,0.126,0.000200484477600979,DHFR,Peri,Up reg
81442,7.21829070212681e-09,1.17039390102117,0.296,0.089,0.000275565465844393,SCAND1,Peri,Up reg
81454,1.10118935377156e-08,1.89534500124685,0.208,0.041,0.000420390047695832,SLC39A1,Peri,Up reg
81456,1.1477497253333e-08,1.42513404850376,0.365,0.148,0.000438164935143242,H1FX,Peri,Up reg
81466,1.33920983314997e-08,-1.08191509505133,0.158,0.378,0.000511256745903333,TRAF3IP2-AS1,Peri,Down reg
81496,2.82998403447853e-08,2.18886699597783,0.177,0.03,0.00108037470500253,PPP1R35,Peri,Up reg
81506,3.4832709965456e-08,1.13339364012241,0.412,0.185,0.00132977353564125,RPLP0,Peri,Up reg
81525,4.92402436830078e-08,1.12526471726178,0.319,0.115,0.0018797955428425,TMEM219,Peri,Up reg
81551,7.29963754215198e-08,1.20401717950804,0.235,0.063,0.00278670962809194,SSR4,Peri,Up reg
81556,7.92782461696221e-08,1.32399485583493,0.281,0.093,0.00302652632577149,ABHD17A,Peri,Up reg
81562,9.04726196080197e-08,0.935897921847079,0.596,0.348,0.00345388272615576,TPT1,Peri,Up reg
81576,1.18602908794278e-07,1.20462505706924,0.323,0.126,0.00452778464613034,MARCKSL1,Peri,Up reg
81577,1.19772862986469e-07,1.63300586554589,0.208,0.052,0.00457244881737145,SLC2A4,Peri,Up reg
81579,1.22757777754977e-07,1.91020826008911,0.162,0.026,0.00468640092357399,AL645608.8,Peri,Up reg
81580,1.22922662013465e-07,1.03567078944981,0.227,0.059,0.00469269554502604,UBALD2,Peri,Up reg
81588,1.38519203668688e-07,0.862249399389395,0.431,0.2,0.00528810911925582,COX5B,Peri,Up reg
81589,1.393376161351e-07,1.17021200769256,0.242,0.07,0.00531935283357359,DPM3,Peri,Up reg
81603,1.71262496205638e-07,0.784889323255434,0.188,0.041,0.00653811705514642,GGACT,Peri,Up reg
81610,1.83289757549674e-07,1.33207902361368,0.331,0.137,0.00699726978421636,PPDPF,Peri,Up reg
81613,1.86961628610541e-07,0.80043210985191,0.308,0.107,0.00713744713383601,PGAM1,Peri,Up reg
81618,1.95075656666555e-07,0.81759264611614,0.381,0.163,0.00744720826890241,LINC02256,Peri,Up reg
81627,2.18330533130837e-07,0.860742198234847,0.423,0.196,0.00833498643280284,FOXD1,Peri,Up reg
81628,2.22427810711767e-07,1.22853924302015,0.238,0.07,0.00849140410173242,AC096711.2,Peri,Up reg
81631,2.31136076481781e-07,1.29774128531832,0.25,0.078,0.00882385085576847,MAF1,Peri,Up reg
81663,3.57647793307951e-07,0.916578851210152,0.288,0.104,0.0136535621573243,JTB,Peri,Up reg
81664,3.61533612709667e-07,1.04806663508483,0.204,0.052,0.0138019071988042,IDH3G,Peri,Up reg
81668,3.81841234581606e-07,1.48665791706278,0.181,0.041,0.0145771709713874,RNF167,Peri,Up reg
81673,3.93529902318188e-07,-1.85762988071343,0.123,0.289,0.0150233975508991,SNAP25,Peri,Down reg
81679,4.14621349413584e-07,2.03216813423378,0.165,0.033,0.015828584635213,SOX18,Peri,Up reg
81689,4.43569979106017e-07,1.72032247779208,0.204,0.056,0.0169337275223513,YIPF3,Peri,Up reg
81695,5.01575414069996e-07,1.62620260554218,0.223,0.067,0.0191481430075362,DPP7,Peri,Up reg
81709,5.44780828910435e-07,0.899828277165947,0.296,0.111,0.0207975529244848,MLF2,Peri,Up reg
81714,6.0588353742778e-07,1.64108515738937,0.185,0.044,0.0231302099248429,EMC7,Peri,Up reg
81726,7.16528788344553e-07,0.75092569198311,0.231,0.07,0.0273542030238416,FP700111.1,Peri,Up reg
81728,7.43568655218127e-07,1.71199099449761,0.169,0.037,0.0283864769816072,SLC39A7,Peri,Up reg
81743,8.8587348360051e-07,0.886386217387879,0.446,0.233,0.0338191061099331,S100A6,Peri,Up reg
81751,9.96265883527857e-07,0.871461321386539,0.265,0.093,0.0380334463695595,LINC00623,Peri,Up reg
81755,1.04862935826993e-06,1.01302489049218,0.227,0.07,0.0400324743813127,C1orf122,Peri,Up reg
81770,1.22916787250439e-06,1.36980027200447,0.192,0.052,0.0469247127007277,SAP30L,Peri,Up reg
81771,1.2324261590328e-06,0.760734221073024,0.285,0.107,0.0470491010472362,PTGR1,Peri,Up reg
96771,3.82390827443087e-116,-0.963442981894673,0.607,0.803,1.45981522284673e-111,RBMS3,Opc,Down reg
96780,2.4505027602445e-101,1.61167662477912,0.498,0.249,9.35503933750939e-97,LINC00486,Opc,Up reg
96810,2.06786302934963e-81,1.38460361299214,0.337,0.119,7.89427390084513e-77,AC096711.2,Opc,Up reg
96820,1.09598112579445e-78,1.72990250027041,0.287,0.093,4.18401754583291e-74,FAM85B,Opc,Up reg
96827,5.33422860807809e-76,0.938094643282214,0.627,0.404,2.03639511341989e-71,AC016831.7,Opc,Up reg
96835,6.68062639808047e-74,1.5253190463106,0.292,0.1,2.5503959337312e-69,WASHC1,Opc,Up reg
96852,4.10603791897349e-68,0.763881821266857,0.66,0.412,1.56752103594732e-63,BCL6,Opc,Up reg
96856,1.29724768343621e-67,1.174233285983,0.407,0.197,4.95237275628609e-63,KCNAB1,Opc,Up reg
96859,1.26682488981058e-64,0.785151426657367,0.667,0.466,4.83623069934085e-60,PDE4DIP,Opc,Up reg
96874,2.41231407154021e-58,1.41792884965317,0.225,0.072,9.20925019951192e-54,CHD1L,Opc,Up reg
96891,8.99204902274185e-55,1.09903232705256,0.339,0.159,3.43280463492193e-50,FAM182B,Opc,Up reg
96910,9.24792621957263e-52,1.44238878888419,0.203,0.065,3.53048831358405e-47,FP700111.1,Opc,Up reg
96926,8.10207447572976e-50,0.944678022470979,0.328,0.153,3.09304795185459e-45,LINC00623,Opc,Up reg
96929,1.56622626884632e-49,0.934385391140421,0.365,0.182,5.97922540394769e-45,FBXO31,Opc,Up reg
96945,6.49027773813946e-47,1.12003426424041,0.253,0.103,2.47772842931212e-42,TIMM23B,Opc,Up reg
96952,2.79836557626752e-46,0.698348274610896,0.486,0.297,1.06830404239589e-41,HSD17B12,Opc,Up reg
96956,9.87886301564327e-46,1.73626361293598,0.152,0.041,3.77135474485197e-41,AGAP6,Opc,Up reg
96959,3.47128675056004e-45,0.685725579757408,0.486,0.286,1.3251984298938e-40,MARCKSL1,Opc,Up reg
96963,1.27500425957928e-44,1.96268666441307,0.133,0.032,4.86745626136986e-40,AP003086.2,Opc,Up reg
96983,2.54293786760176e-42,1.14667124356034,0.229,0.094,9.70791960335647e-38,LINC02256,Opc,Up reg
96986,5.06172622362929e-42,0.757997317043065,0.444,0.265,1.93236460313272e-37,LRRC37A3,Opc,Up reg
96998,1.50970621691038e-40,0.611463760534844,0.536,0.344,5.76345445367707e-36,AC245297.3,Opc,Up reg
97000,2.10285471979502e-40,1.20486361197578,0.223,0.092,8.02785817828945e-36,ACAN,Opc,Up reg
97015,2.85791298620424e-39,1.43767660432387,0.144,0.043,1.09103686161333e-34,SPDYE3,Opc,Up reg
97047,8.44652366592202e-37,2.07431752568813,0.129,0.037,3.22454487470239e-32,AC012593.1,Opc,Up reg
97067,4.20519153738328e-35,0.675622575050396,0.501,0.334,1.60537392131144e-30,NSF,Opc,Up reg
97073,7.26101391092817e-35,0.627787916900561,0.381,0.217,2.77196467063594e-30,FTL,Opc,Up reg
97083,4.32422258184693e-34,1.17487924719936,0.143,0.047,1.65081521284588e-29,FAM157C,Opc,Up reg
97086,5.43593458594795e-34,1.2681362481031,0.15,0.052,2.07522238753149e-29,CR381653.1,Opc,Up reg
97094,1.1362664663053e-33,0.608866734825675,0.19,0.077,4.33781086176712e-29,SLC26A3,Opc,Up reg
97097,1.83686456541393e-33,0.756474541630522,0.334,0.185,7.01241416492421e-29,NAIP,Opc,Up reg
97105,3.45421703023449e-33,-4.37900795559663,0.013,0.081,1.31868189346232e-28,EGR1,Opc,Down reg
97136,2.12249512826494e-31,2.43554074387163,0.084,0.017,8.10283740166425e-27,AL161935.3,Opc,Up reg
97143,7.28615075711336e-31,0.792856235775725,0.208,0.093,2.7815609130356e-26,C1QL2,Opc,Up reg
97170,2.85128626725587e-29,1.12407322099281,0.24,0.125,1.0885070453876e-24,LINC01117,Opc,Up reg
97174,3.26291645534535e-29,1.31427358221993,0.109,0.032,1.24565098599264e-24,C1orf56,Opc,Up reg
97185,1.62704658221501e-28,0.614291490933514,0.337,0.197,6.21141303226402e-24,SLC6A11,Opc,Up reg
97219,5.39707389042072e-27,0.956847176041101,0.138,0.053,2.06038692840701e-22,SHMT1,Opc,Up reg
97257,4.67301564856521e-26,0.747545262280394,0.256,0.139,1.78397045399625e-21,GLIDR,Opc,Up reg
97270,8.36657851830125e-26,0.641135683441241,0.257,0.139,3.19402501514668e-21,AL354771.1,Opc,Up reg
97310,1.5647368419512e-24,0.96361801584353,0.152,0.066,5.97353936783292e-20,UBALD2,Opc,Up reg
97334,5.49723085049111e-24,0.792914443648857,0.141,0.059,2.09862284948349e-19,SPSB3,Opc,Up reg
97354,1.61328017821279e-23,0.650167379450121,0.2,0.1,6.15885840834515e-19,ATF6B,Opc,Up reg
97388,7.97376504690645e-23,0.902371059527616,0.112,0.042,3.04406454430701e-18,AC009403.1,Opc,Up reg
97407,2.94104540105756e-22,2.06335179087691,0.064,0.015,1.12277349230774e-17,AP002884.1,Opc,Up reg
97448,1.30745764661112e-21,0.680293169217974,0.149,0.068,4.99135031170262e-17,AL359091.1,Opc,Up reg
97451,1.39570479135842e-21,1.18990196650477,0.135,0.059,5.3282426114899e-17,AZGP1,Opc,Up reg
97465,2.18025869813099e-21,1.17880789263493,0.112,0.044,8.32335560598488e-17,POLN,Opc,Up reg
97504,1.33318133086356e-20,0.732351473940708,0.136,0.061,5.08955304870472e-16,RUNX1,Opc,Up reg
97555,6.08656949956502e-20,0.763991423119866,0.105,0.041,2.32360877215394e-15,NPIPB13,Opc,Up reg
97635,6.50680408745664e-19,0.820513977496271,0.115,0.049,2.48403752842745e-14,DDRGK1,Opc,Up reg
97653,1.08718405239996e-18,0.675056580587967,0.165,0.085,4.15043383844209e-14,MITD1,Opc,Up reg
97663,1.42038709469558e-18,1.14076375364527,0.109,0.047,5.42246977270984e-14,SRPX,Opc,Up reg
97761,2.22308189560609e-17,1.14547057637511,0.075,0.026,8.48683744466579e-13,SPDYE2,Opc,Up reg
97807,4.81152398842409e-17,0.726385447189143,0.1,0.041,1.83684739782078e-12,RFNG,Opc,Up reg
97811,5.14585640307091e-17,0.694379582231556,0.151,0.077,1.96448214043635e-12,AC090138.1,Opc,Up reg
97848,1.04095351616894e-16,1.15330325034527,0.087,0.034,3.97394414332655e-12,ART3,Opc,Up reg
97850,1.05825947405658e-16,1.04397168264138,0.077,0.028,4.0400113681584e-12,ILVBL,Opc,Up reg
97851,1.0741867276945e-16,0.743424728658761,0.109,0.049,4.10081525164654e-12,CDK11B,Opc,Up reg
97881,2.0914582923885e-16,0.9714397808926,0.088,0.035,7.98435117702232e-12,SLC6A9,Opc,Up reg
97945,5.98840039066378e-16,0.681791686440443,0.106,0.048,2.28613173313981e-11,YIPF3,Opc,Up reg
97953,6.60497464963444e-16,0.609210211739657,0.112,0.052,2.52151512224444e-11,C1orf122,Opc,Up reg
98021,1.93287309291868e-15,1.0472803965523,0.064,0.021,7.37893631952636e-11,OOEP,Opc,Up reg
98023,1.97054755661042e-15,0.739896042930149,0.103,0.046,7.52276235211595e-11,Z94057.1,Opc,Up reg
98029,2.12510645708821e-15,1.27705238697203,0.07,0.025,8.11280641057993e-11,AC027312.1,Opc,Up reg
98054,3.05884386878019e-15,0.872237491379846,0.095,0.041,1.16774423534552e-10,FBXW5,Opc,Up reg
98069,3.67869771928408e-15,1.29116619006652,0.048,0.013,1.40437964131389e-10,AC007106.1,Opc,Up reg
98075,3.88775199884338e-15,1.4407937049419,0.051,0.014,1.48418820307845e-10,CRLF1,Opc,Up reg
98097,5.39530920837906e-15,1.15025255409034,0.075,0.029,2.05971324339079e-10,SPDYE5,Opc,Up reg
98115,6.49251004386384e-15,0.757898340763085,0.149,0.081,2.47858063434546e-10,AC009318.1,Opc,Up reg
98151,9.38457587742496e-15,0.794330508104891,0.129,0.067,3.58265568696575e-10,GPD1L,Opc,Up reg
98184,1.36828125803615e-14,0.67634745211558,0.12,0.06,5.22355053067882e-10,FABP5,Opc,Up reg
98267,3.66452372023045e-14,0.72241162296703,0.083,0.035,1.39896857543517e-09,AL161457.2,Opc,Up reg
98274,3.96253258664242e-14,1.32108789613547,0.05,0.015,1.51273644027661e-09,C1RL,Opc,Up reg
98290,4.66671198256446e-14,0.827449835852097,0.066,0.024,1.78156396646381e-09,BAIAP2L1,Opc,Up reg
98302,5.17894988476732e-14,0.889672258229366,0.077,0.031,1.97711590800877e-09,SLC29A3,Opc,Up reg
98315,5.92791333898819e-14,0.757014541839162,0.069,0.026,2.26304019629213e-09,FKBP2,Opc,Up reg
98492,2.68069256789883e-13,0.913332857783189,0.064,0.024,1.02338119472106e-08,ARMCX5,Opc,Up reg
98502,3.1058026603313e-13,0.845198681914419,0.07,0.028,1.18567122360808e-08,BET1L,Opc,Up reg
98518,3.53993055320372e-13,0.606448708796483,0.105,0.052,1.35140388799105e-08,SLC35C2,Opc,Up reg
98600,7.60429915583015e-13,0.658818231856604,0.075,0.031,2.90301724572972e-08,THOC3,Opc,Up reg
98660,1.22065669386972e-12,0.808898618571306,0.083,0.037,4.65997899451704e-08,AC092574.2,Opc,Up reg
98679,1.3789777262589e-12,2.31966304083271,0.035,0.008,5.26438536776599e-08,C5orf17,Opc,Up reg
98716,1.89390722917958e-12,1.09751026167443,0.058,0.021,7.23018023811598e-08,SLC39A1,Opc,Up reg
98748,2.35233584905424e-12,1.23887683658131,0.045,0.014,8.98027733734948e-08,GGACT,Opc,Up reg
98764,2.66296432915188e-12,0.879392514086979,0.062,0.024,1.01661326229702e-07,DPM2,Opc,Up reg
98780,2.99566709888101e-12,0.686912598791904,0.091,0.043,1.14362587166881e-07,MPDU1,Opc,Up reg
98798,3.35841639737459e-12,1.00468159851538,0.053,0.018,1.28210904386172e-07,TCTE3,Opc,Up reg
98814,3.79303385398091e-12,0.769851835527993,0.075,0.033,1.44802860409575e-07,EIF1AY,Opc,Up reg
98909,7.65433159494793e-12,1.05879155177378,0.057,0.022,2.92211762968732e-07,ABTB1,Opc,Up reg
98932,8.71383862179407e-12,0.919010696310801,0.071,0.031,3.3265950322561e-07,HAGHL,Opc,Up reg
98976,1.24226242140707e-11,1.09637843307175,0.057,0.022,4.74246101996362e-07,SERHL2,Opc,Up reg
99171,3.51955784455344e-11,1.4405848897618,0.039,0.011,1.34362640273672e-06,AC079584.1,Opc,Up reg
99199,3.93110121804027e-11,0.903820214737809,0.047,0.016,1.50073720099905e-06,PTP4A1,Opc,Up reg
99382,1.13214930097263e-10,-0.719162988127675,0.196,0.259,4.32209317139311e-06,TLL1,Opc,Down reg
99419,1.40671974901738e-10,-1.16489225474155,0.066,0.113,5.37029331384875e-06,NEFL,Opc,Down reg
99439,1.52817677594905e-10,1.41675851295142,0.045,0.016,5.8339676598631e-06,P4HA3,Opc,Up reg
99472,1.86663293612949e-10,0.650897007789507,0.068,0.031,7.12605789696796e-06,RTN4RL2,Opc,Up reg
99498,2.13903255695935e-10,0.689850967888245,0.064,0.028,8.16597068944802e-06,MAF1,Opc,Up reg
99620,3.90333430420912e-10,0.603255793303148,0.102,0.056,1.49013690397487e-05,HIC2,Opc,Up reg
99719,6.71001445777112e-10,0.648962956376264,0.056,0.023,2.5616151193987e-05,BAIAP2L2,Opc,Up reg
99735,7.22295980174496e-10,1.00341133312289,0.051,0.02,2.75743713391416e-05,PIP4P1,Opc,Up reg
99742,7.41689427183851e-10,1.0340652216567,0.048,0.019,2.83147355721707e-05,MHENCR,Opc,Up reg
99784,9.00022663317863e-10,0.767967137567968,0.173,0.117,3.43592651948227e-05,OSMR-AS1,Opc,Up reg
99804,1.00633665889732e-09,1.04396538042157,0.04,0.014,3.84179082900642e-05,PKD2L2,Opc,Up reg
99862,1.25752319523932e-09,1.1751384483538,0.042,0.015,4.80072055014563e-05,DNAH17,Opc,Up reg
100014,2.43089817429309e-09,0.679645338681292,0.06,0.027,9.2801968701813e-05,TRMT112,Opc,Up reg
100140,3.92709493447409e-09,0.61271559431117,0.054,0.023,0.000149920776218483,FLII,Opc,Up reg
100150,4.14299243547308e-09,1.42681043289502,0.032,0.01,0.00015816287921662,FANCD2,Opc,Up reg
100187,4.90711316074293e-09,0.87350549448394,0.049,0.02,0.000187333952024522,SLC13A4,Opc,Up reg
100281,7.43912962425644e-09,0.734825144168084,0.043,0.017,0.000283996212535614,NAT16,Opc,Up reg
100323,8.75458035925956e-09,0.776665516780335,0.047,0.02,0.000334214859795093,AC244453.3,Opc,Up reg
100462,1.43512175595724e-08,0.636257442996176,0.053,0.024,0.000547872081554236,IDH3G,Opc,Up reg
100693,3.40423481371597e-08,0.629553883457618,0.059,0.028,0.00129960068248421,LMF2,Opc,Up reg
100773,4.59608190635911e-08,-1.32474724495175,0.03,0.06,0.00175460022857165,HLA-C,Opc,Down reg
100783,4.743845163919e-08,0.72105092181807,0.084,0.048,0.00181101032977772,PCDH9-AS4,Opc,Up reg
100785,4.74952321907303e-08,0.867700954150282,0.035,0.013,0.00181317798411332,AP002954.1,Opc,Up reg
101177,1.87920255327516e-07,1.3179044792117,0.058,0.03,0.00717404366738325,AC026316.5,Opc,Up reg
101178,1.88250797751205e-07,-1.1656285733139,0.107,0.148,0.00718666245494999,YWHAH,Opc,Down reg
101215,2.16423721808954e-07,0.681714053037529,0.041,0.017,0.00826219200377863,GOLGA8M,Opc,Up reg
101236,2.31170163271656e-07,0.648361590376002,0.054,0.027,0.00882515215305876,PCNX3,Opc,Up reg
101363,3.5745824836368e-07,0.953552726241231,0.031,0.012,0.0136463260895319,AL590006.1,Opc,Up reg
101409,4.2420622521795e-07,0.604618120459307,0.062,0.033,0.0161944968539205,AL359921.1,Opc,Up reg
101439,4.65633237522881e-07,0.717589418875273,0.047,0.022,0.0177760144756735,USP19,Opc,Up reg
101440,4.66095342344084e-07,1.16011147062295,0.026,0.008,0.0177936557893278,TLCD1,Opc,Up reg
101469,5.03798542600465e-07,0.660886729151195,0.036,0.015,0.0192330131623154,THSD4,Opc,Up reg
101479,5.23881077795745e-07,-0.952853988430546,0.059,0.094,0.0199996840259303,NKX2-2,Opc,Down reg
101550,6.61484069212154e-07,-1.59590848847329,0.021,0.045,0.0252528158262432,RGS4,Opc,Down reg
101731,1.20205833203255e-06,0.72519008418439,0.04,0.018,0.0458897788836744,RANGRF,Opc,Up reg
101750,1.30959968785567e-06,0.954128144327602,0.029,0.011,0.0499952776835779,LINC01954,Opc,Up reg
109960,1.38819164870112e-37,0.88604191433812,0.563,0.349,5.2995604380814e-33,NAIP,Mic,Up reg
109964,1.21690231510282e-36,-2.62349349486259,0.069,0.202,4.64564627813654e-32,CD83,Mic,Down reg
109966,2.57388309829633e-36,0.663354107051639,0.537,0.29,9.82605611605607e-32,SLA,Mic,Up reg
109978,1.12081314299495e-32,0.757589960369192,0.438,0.223,4.27881625469753e-28,APOE,Mic,Up reg
109980,1.24561292156046e-32,1.15812318550462,0.269,0.102,4.75525188934921e-28,LINC02256,Mic,Up reg
109987,1.2751575407331e-31,-4.94712551980786,0.009,0.086,4.86804142750269e-27,NR4A3,Mic,Down reg
109999,1.10477827386064e-29,0.88095239552016,0.389,0.208,4.21760153829037e-25,LINC00486,Mic,Up reg
110007,1.40311789111018e-28,2.88663594364325,0.118,0.018,5.35654286110221e-24,AP001636.3,Mic,Up reg
110009,1.67271533989065e-28,0.985287111608212,0.34,0.169,6.38575808156655e-24,MIR181A1HG,Mic,Up reg
110047,4.70892868816117e-25,0.967896482192638,0.222,0.087,1.79768061599241e-20,WASHC1,Mic,Up reg
110060,2.51589814946784e-24,1.06826291976969,0.246,0.108,9.60469277540841e-20,FAM157C,Mic,Up reg
110074,1.33959208400666e-23,0.834676002597297,0.516,0.326,5.11402673990384e-19,FTL,Mic,Up reg
110079,2.21529892661148e-23,0.776078220784926,0.304,0.15,8.45712518223197e-19,TNFSF13B,Mic,Up reg
110097,1.09441664949805e-22,0.623731777119961,0.354,0.188,4.17804500112375e-18,AC120193.1,Mic,Up reg
110115,7.96766756793124e-22,0.844765105742366,0.26,0.123,3.04173677073343e-17,BCL6,Mic,Up reg
110119,1.03715716021136e-21,1.25795275929045,0.15,0.047,3.9594511748229e-17,CHD1L,Mic,Up reg
110132,6.28410142276278e-21,1.02259137496608,0.153,0.051,2.39901855915392e-16,AP003086.2,Mic,Up reg
