p_val,avg_log2FC,pct.1,pct.2,p_val_adj,marker,celltype,de
16856,7.21972492776646e-10,-0.816314234396736,0.008,0.018,2.75620218842412e-05,NAT16,In,Down reg
16890,8.57007506035005e-10,1.51322156162028,0.027,0.014,3.27171185503923e-05,AC012593.1,In,Up reg
17065,2.6141512690238e-09,0.749947556094843,0.098,0.075,9.97978388462525e-05,POLN,In,Up reg
17141,4.04449060437624e-09,-0.63163959139898,0.009,0.019,0.000154402473312667,AC005394.1,In,Down reg
17207,5.96646561459365e-09,-1.02309261106685,0.009,0.019,0.000227775791302727,AC090403.1,In,Down reg
17290,9.63431129657854e-09,-0.869420898270505,0.004,0.012,0.000367799468058183,MASP1,In,Down reg
17359,1.48619462070255e-08,0.808040540372917,0.036,0.022,0.000567369658399405,AP003086.2,In,Up reg
17403,2.0597360634279e-08,-1.02627259519915,0.004,0.01,0.000786324839574235,AL669970.1,In,Down reg
17793,1.7687051517747e-07,-1.19954115749003,0.004,0.011,0.00675220878741508,AL160272.1,In,Down reg
17833,2.17899978036234e-07,0.730185969255319,0.147,0.127,0.00831854956151128,LINC02256,In,Up reg
17837,2.21389402738655e-07,0.662249785552293,0.062,0.046,0.0084517618389509,NPIPB13,In,Up reg
18089,7.52880227624062e-07,1.30748616023671,0.057,0.042,0.0287419555697762,APOE,In,Up reg
18156,1.05819937042916e-06,-1.1475614733691,0.006,0.013,0.0403978191655035,RRAD,In,Down reg
18164,1.09443795460378e-06,1.22331192140883,0.021,0.012,0.0417812633549541,AC131009.2,In,Up reg
23701,0,1.20920401917673,0.48,0.287,0,FAM85B,Ex,Up reg
23703,0,-1.10140675190866,0.23,0.415,0,ETV5,Ex,Down reg
23718,7.54291019924319e-296,-0.95709010395748,0.375,0.547,2.87958139766309e-291,RGS4,Ex,Down reg
23761,4.36324311462987e-226,1.30127268105053,0.3,0.17,1.6657116914411e-221,FP700111.1,Ex,Up reg
23825,3.8850599309434e-186,-1.78370833077114,0.057,0.143,1.48316047923695e-181,EGR1,Ex,Down reg
23861,1.2739419917833e-172,0.986714142072644,0.28,0.162,4.86340094783191e-168,AC096711.2,Ex,Up reg
23936,2.77171250319382e-151,-0.98845168754615,0.119,0.217,1.05812896521927e-146,AC097512.1,Ex,Down reg
23968,1.90135936206992e-143,-0.823312660320186,0.231,0.348,7.25862950063812e-139,ATP5F1E,Ex,Down reg
24021,1.53079477184577e-129,-0.673327999408013,0.314,0.437,5.8439621209984e-125,RPS27A,Ex,Down reg
24035,1.68409770955524e-126,0.608197484639222,0.523,0.435,6.42921141599808e-122,YPEL1,Ex,Up reg
24041,5.50742966095156e-126,-0.807850114450426,0.434,0.54,2.10251634736487e-121,CCK,Ex,Down reg
24075,3.48993458906197e-120,0.808385556250035,0.222,0.13,1.3323174287203e-115,FAM157C,Ex,Up reg
24214,8.31923198020108e-101,-0.657370853497917,0.232,0.329,3.17595000076156e-96,CHGB,Ex,Down reg
24222,5.05832383395316e-100,0.973163897091613,0.136,0.068,1.93106570684996e-95,AGAP6,Ex,Up reg
24251,4.56932560116227e-96,-1.24544929982108,0.046,0.1,1.74438574149971e-91,MIDN,Ex,Down reg
24266,6.81456610037763e-94,-0.811432207944452,0.173,0.256,2.60152875448016e-89,NAP1L5,Ex,Down reg
24300,5.5975466332735e-91,-0.629235488818886,0.334,0.431,2.13691940271849e-86,BEX1,Ex,Down reg
24306,1.65592931190085e-90,-0.89913718597811,0.13,0.204,6.3216757411127e-86,BEX5,Ex,Down reg
24344,5.46586310343798e-88,1.00289307519844,0.291,0.22,2.08664789836848e-83,TIMM23B,Ex,Up reg
24376,8.43918524445513e-86,-0.709117948353911,0.177,0.259,3.22174335892319e-81,TMEM160,Ex,Down reg
24456,1.19794538686649e-79,-0.736905805757355,0.212,0.294,4.57327630890151e-75,COX5B,Ex,Down reg
24471,6.41246049271921e-79,-1.03150635711712,0.053,0.104,2.44802091770049e-74,AL162231.1,Ex,Down reg
24624,9.29947536741391e-71,-0.661117385559431,0.148,0.218,3.55016771626394e-66,CBLN4,Ex,Down reg
24693,6.52681118837815e-68,-1.2854484437733,0.023,0.058,2.49167543927524e-63,LINC02364,Ex,Down reg
24712,1.33306951162428e-66,-3.13385413788928,0.002,0.02,5.08912616757687e-62,CRH,Ex,Down reg
24736,2.81838863419702e-65,-0.652338414464776,0.086,0.141,1.07594804499105e-60,TRPC3,Ex,Down reg
24763,8.28886325055792e-64,0.655861129202735,0.438,0.396,3.16435643453299e-59,FAM182B,Ex,Up reg
24764,8.99505215708291e-64,-2.06864182789456,0.012,0.037,3.43395111148797e-59,FOS,Ex,Down reg
24843,7.71731845483232e-61,-0.775435590285582,0.127,0.187,2.94616349331679e-56,RNASEK,Ex,Down reg
24911,5.88818076539396e-58,-2.07754310676262,0.01,0.033,2.2478718889968e-53,DUSP4,Ex,Down reg
24912,6.62641328573682e-58,-0.672503022168347,0.123,0.182,2.52969953596289e-53,GABARAP,Ex,Down reg
24974,1.67173335956243e-55,0.93484366776279,0.058,0.024,6.38200927346552e-51,AP002884.1,Ex,Up reg
24996,1.24011810203402e-54,-0.959196052715171,0.03,0.063,4.73427486632507e-50,SOX4,Ex,Down reg
25033,1.87864217547371e-53,-0.601901938296928,0.102,0.155,7.17190436908842e-49,TPBG,Ex,Down reg
